"possible_missing_network","repetitions","epsilon"
"Baldock2019_Bristol",1,0.1
"Baldock2019_Edinburgh",1,0.1
"Baldock2019_Leeds",1,0.1
"Baldock2019_Reading",1,0.1
"Baldock2019_Bristol",2,0.1
"Baldock2019_Edinburgh",2,0.1
"Baldock2019_Leeds",2,0.1
"Baldock2019_Reading",2,0.1
"Baldock2019_Bristol",3,0.1
"Baldock2019_Edinburgh",3,0.1
"Baldock2019_Leeds",3,0.1
"Baldock2019_Reading",3,0.1
"Baldock2019_Bristol",1,0.2
"Baldock2019_Edinburgh",1,0.2
"Baldock2019_Leeds",1,0.2
"Baldock2019_Reading",1,0.2
"Baldock2019_Bristol",2,0.2
"Baldock2019_Edinburgh",2,0.2
"Baldock2019_Leeds",2,0.2
"Baldock2019_Reading",2,0.2
"Baldock2019_Bristol",3,0.2
"Baldock2019_Edinburgh",3,0.2
"Baldock2019_Leeds",3,0.2
"Baldock2019_Reading",3,0.2
"Baldock2019_Bristol",1,0.3
"Baldock2019_Edinburgh",1,0.3
"Baldock2019_Leeds",1,0.3
"Baldock2019_Reading",1,0.3
"Baldock2019_Bristol",2,0.3
"Baldock2019_Edinburgh",2,0.3
"Baldock2019_Leeds",2,0.3
"Baldock2019_Reading",2,0.3
"Baldock2019_Bristol",3,0.3
"Baldock2019_Edinburgh",3,0.3
"Baldock2019_Leeds",3,0.3
"Baldock2019_Reading",3,0.3
"Baldock2019_Bristol",1,0.4
"Baldock2019_Edinburgh",1,0.4
"Baldock2019_Leeds",1,0.4
"Baldock2019_Reading",1,0.4
"Baldock2019_Bristol",2,0.4
"Baldock2019_Edinburgh",2,0.4
"Baldock2019_Leeds",2,0.4
"Baldock2019_Reading",2,0.4
"Baldock2019_Bristol",3,0.4
"Baldock2019_Edinburgh",3,0.4
"Baldock2019_Leeds",3,0.4
"Baldock2019_Reading",3,0.4
"Baldock2019_Bristol",1,0.5
"Baldock2019_Edinburgh",1,0.5
"Baldock2019_Leeds",1,0.5
"Baldock2019_Reading",1,0.5
"Baldock2019_Bristol",2,0.5
"Baldock2019_Edinburgh",2,0.5
"Baldock2019_Leeds",2,0.5
"Baldock2019_Reading",2,0.5
"Baldock2019_Bristol",3,0.5
"Baldock2019_Edinburgh",3,0.5
"Baldock2019_Leeds",3,0.5
"Baldock2019_Reading",3,0.5
"Baldock2019_Bristol",1,0.6
"Baldock2019_Edinburgh",1,0.6
"Baldock2019_Leeds",1,0.6
"Baldock2019_Reading",1,0.6
"Baldock2019_Bristol",2,0.6
"Baldock2019_Edinburgh",2,0.6
"Baldock2019_Leeds",2,0.6
"Baldock2019_Reading",2,0.6
"Baldock2019_Bristol",3,0.6
"Baldock2019_Edinburgh",3,0.6
"Baldock2019_Leeds",3,0.6
"Baldock2019_Reading",3,0.6
"Baldock2019_Bristol",1,0.7
"Baldock2019_Edinburgh",1,0.7
"Baldock2019_Leeds",1,0.7
"Baldock2019_Reading",1,0.7
"Baldock2019_Bristol",2,0.7
"Baldock2019_Edinburgh",2,0.7
"Baldock2019_Leeds",2,0.7
"Baldock2019_Reading",2,0.7
"Baldock2019_Bristol",3,0.7
"Baldock2019_Edinburgh",3,0.7
"Baldock2019_Leeds",3,0.7
"Baldock2019_Reading",3,0.7
"Baldock2019_Bristol",1,0.8
"Baldock2019_Edinburgh",1,0.8
"Baldock2019_Leeds",1,0.8
"Baldock2019_Reading",1,0.8
"Baldock2019_Bristol",2,0.8
"Baldock2019_Edinburgh",2,0.8
"Baldock2019_Leeds",2,0.8
"Baldock2019_Reading",2,0.8
"Baldock2019_Bristol",3,0.8
"Baldock2019_Edinburgh",3,0.8
"Baldock2019_Leeds",3,0.8
"Baldock2019_Reading",3,0.8
