possible_missing_network,repetitions,epsilon,AUC_VGAE
1,1,0.1,0.5031694091249065
2,1,0.1,0.4710690722251416
3,1,0.1,0.5072111456120281
4,1,0.1,0.5332533013205283
1,2,0.1,0.5092604712041885
2,2,0.1,0.46491893890737823
3,2,0.1,0.48730388952443204
4,2,0.1,0.5023698368236184
1,3,0.1,0.5051000373971578
2,3,0.1,0.4927113135205621
3,3,0.1,0.5169655989540775
4,3,0.1,0.587097061046641
1,1,0.2,0.4790307014371894
2,1,0.2,0.48670386096573515
3,1,0.2,0.5101524090462144
4,1,0.2,0.5445923143914653
1,2,0.2,0.5348212304016797
2,2,0.2,0.505085415226622
3,2,0.2,0.5053386546358957
4,2,0.2,0.5546665215182524
1,3,0.2,0.49672935302787347
2,3,0.2,0.5107978670879826
3,3,0.2,0.5083955115969692
4,3,0.2,0.5522262138036143
1,1,0.3,0.4841079501917926
2,1,0.3,0.4713241489441481
3,1,0.3,0.4747812226825282
4,1,0.3,0.5031834474748689
1,2,0.3,0.4804240156304618
2,2,0.3,0.49085972411541806
3,2,0.3,0.4618315533427084
4,2,0.3,0.5068384797148464
1,3,0.3,0.4913482083536854
2,3,0.3,0.49349328816131355
3,3,0.3,0.4299520637756072
4,3,0.3,0.5121921182266009
1,1,0.4,0.49775714240787694
2,1,0.4,0.530927790506375
3,1,0.4,0.4097245251918053
4,1,0.4,0.45920773931757053
1,2,0.4,0.4978456114737231
2,2,0.4,0.5440152008615837
3,2,0.4,0.4229466023560953
4,2,0.4,0.49363578979985445
1,3,0.4,0.4852053355900093
2,3,0.4,0.5206759587226177
3,3,0.4,0.40825808744614545
4,3,0.4,0.4541251305005253
1,1,0.5,0.49910022511429486
2,1,0.5,0.520569689634911
3,1,0.5,0.44385848587898524
4,1,0.5,0.47861465574244166
1,2,0.5,0.49525272800231634
2,2,0.5,0.4998728371350645
3,2,0.5,0.425314695718375
4,2,0.5,0.48786913017386524
1,3,0.5,0.49197430652302676
2,3,0.5,0.5259273950636523
3,3,0.5,0.4283158647784159
4,3,0.5,0.4691663957836715
1,1,0.6,0.5132682423114118
2,1,0.6,0.5289049610522587
3,1,0.6,0.4291282185029983
4,1,0.6,0.446886449980524
1,2,0.6,0.5004380346082458
2,2,0.6,0.5354096280374347
3,2,0.6,0.4412251575069046
4,2,0.6,0.4522352244419421
1,3,0.6,0.5123734436621785
2,3,0.6,0.5438198896108646
3,3,0.6,0.43236010253276164
4,3,0.6,0.4507972118701621
1,1,0.7,0.4769272253993072
2,1,0.7,0.55158192996525
3,1,0.7,0.46579104405784544
4,1,0.7,0.46669877439208785
1,2,0.7,0.4787542805672867
2,2,0.7,0.528640826873385
3,2,0.7,0.4540748093072499
4,2,0.7,0.46305806072896094
1,3,0.7,0.4852852153667055
2,3,0.7,0.5008781965606344
3,3,0.7,0.46297757405134865
4,3,0.7,0.47263229983812727
1,1,0.8,0.48472812835339474
2,1,0.8,0.5283471439512518
3,1,0.8,0.4684421510050845
4,1,0.8,0.4994480808984383
1,2,0.8,0.4871152725021321
2,2,0.8,0.5323890586635297
3,2,0.8,0.467039181285179
4,2,0.8,0.45340328267965224
1,3,0.8,0.481871398614361
2,3,0.8,0.4901112573009397
3,3,0.8,0.49803306584086504
4,3,0.8,0.4516844489062171
